epci_code,epci_nom,code_departement,departement,communes_total,communes_geolocated_total,population_total,population_geolocated_total,transit_hubs_total,average_nearest_stop_distance_km,average_weekday_trips_within_1000m,population_within_500m_share,population_within_1000m_share,communes_within_500m_share,communes_within_1000m_share,installations_total,installations_geolocated_total,installations_within_500m_share,installations_within_1000m_share,schools_total,students_total,students_geolocated_total,average_school_nearest_stop_distance_km,students_within_500m_share,students_within_1000m_share
200068047,Communauté d'agglomération Creil Sud Oise,60,60 - Oise,11,11,89897,89897,8135,0.225051,294.847681,0.926549,0.977452,0.636364,0.727273,1,1,1.0,1.0,89,22187,22187,0.204001,0.928742,1.0
200041960,Communauté de communes Pévèle-Carembault,59,59 - Nord,38,38,98918,98918,8135,0.307595,143.621737,0.85302,1.0,0.789474,1.0,3,3,0.666667,1.0,76,19722,19722,0.189018,1.0,1.0
246000756,Communauté de communes du Pays Noyonnais,60,60 - Oise,42,42,31879,31879,8135,0.357293,257.608833,0.728787,0.953386,0.619048,0.904762,1,1,0.0,1.0,53,6505,6505,0.209795,0.843044,1.0
246000582,Communauté de communes des Sablons,60,60 - Oise,21,21,38502,38502,8135,0.384585,34.074957,0.764298,0.995143,0.571429,0.952381,1,1,1.0,1.0,41,7678,7678,0.225774,0.860901,1.0
200044048,Communauté de communes Osartis Marquion,62,62 - Pas-de-Calais,49,49,42814,42814,8135,0.394665,45.644883,0.691129,0.935582,0.632653,0.918367,2,2,1.0,1.0,53,6039,6039,0.222462,0.980295,1.0
200040947,Communauté d'agglomération Cœur de Flandre,59,59 - Nord,50,50,102562,102562,8135,0.411352,193.349837,0.785613,0.958747,0.64,0.92,1,1,1.0,1.0,106,18453,18453,0.195209,0.981521,1.0
246000129,Communauté de communes du Liancourtois,60,60 - Oise,10,10,23878,23878,8135,0.435496,120.607295,0.659226,1.0,0.7,1.0,0,0,0.0,0.0,22,3520,3520,0.187776,0.985227,1.0
200070985,Communauté de communes de l'Est de la Somme,02,02 - Aisne,41,41,19688,19688,8135,0.445346,41.984965,0.668834,0.924878,0.536585,0.829268,1,1,1.0,1.0,22,2939,2939,0.119979,0.979585,1.0
200043321,Communauté de communes du Pays de Mormal,59,59 - Nord,53,52,48132,47755,8135,0.446352,60.366035,0.662297,0.916407,0.615385,0.923077,0,0,0.0,0.0,52,7772,7772,0.169369,1.0,1.0
200068005,Communauté de communes de l'Oise Picarde,60,60 - Oise,52,52,20939,20939,8135,0.484854,65.147906,0.692392,0.949186,0.557692,0.903846,1,1,1.0,1.0,36,2928,2928,0.067629,1.0,1.0
200035442,Communauté de communes du Sud-Artois,62,62 - Pas-de-Calais,64,64,26936,26936,8135,0.494575,23.95196,0.597082,0.886732,0.546875,0.9375,1,1,1.0,1.0,55,4237,4237,0.109611,0.987019,0.990795
200033579,Communauté urbaine d'Arras,62,62 - Pas-de-Calais,46,46,109781,109781,8135,0.544239,231.336178,0.609213,0.870424,0.304348,0.652174,3,3,0.666667,0.666667,99,23704,23704,0.324978,0.841293,0.954143
246000848,Communauté de communes de la Picardie Verte,60,60 - Oise,88,88,32134,32134,8135,0.544452,24.572135,0.53557,0.852804,0.488636,0.909091,1,1,1.0,1.0,54,4450,4450,0.080089,1.0,1.0
246000707,Communauté de communes du Vexin-Thelle,60,60 - Oise,37,37,20561,20561,8135,0.551543,39.787705,0.313944,0.956422,0.378378,0.891892,0,0,0.0,0.0,25,2649,2649,0.093946,1.0,1.0
245900428,Communauté urbaine de Dunkerque,59,59 - Nord,17,17,192635,192635,8135,0.565493,32.012246,0.342596,0.908682,0.411765,0.764706,8,8,0.625,0.875,175,36347,36347,0.374283,0.744931,0.980934
246000871,Communauté de communes du Pays de Valois,60,60 - Oise,62,62,55394,55394,8135,0.565593,47.614507,0.37134,0.911416,0.387097,0.854839,0,0,0.0,0.0,68,9393,9393,0.116479,1.0,1.0
200067973,Communauté de communes Thelloise,60,60 - Oise,41,41,61730,61730,8135,0.565781,41.196809,0.382942,0.957687,0.463415,0.95122,1,1,1.0,1.0,52,9027,9027,0.134961,0.985931,1.0
200040954,Communauté de communes des Hauts de Flandre,59,59 - Nord,40,40,53525,53525,8135,0.565821,47.56426,0.495899,0.925885,0.5,0.875,1,1,1.0,1.0,62,8544,8544,0.206349,0.944405,0.980454
246000376,Communauté de communes du Clermontois,60,60 - Oise,18,18,37784,37784,8135,0.566425,184.768368,0.480627,0.805711,0.388889,0.777778,0,0,0.0,0.0,42,8726,8726,0.17159,1.0,1.0
200043263,Communauté de communes Cœur de l'Avesnois,59,59 - Nord,43,43,28870,28870,8135,0.567937,84.295116,0.40769,0.896813,0.418605,0.930233,1,1,1.0,1.0,40,4566,4566,0.184666,1.0,1.0
246000897,Communauté de communes de la Plaine d'Estrées,60,60 - Oise,19,19,18167,18167,8135,0.572119,29.443001,0.308251,0.922442,0.315789,0.894737,1,1,1.0,1.0,21,2617,2617,0.090472,1.0,1.0
200067999,Communauté d'agglomération du Beauvaisis,60,60 - Oise,53,53,103404,103404,8135,0.619367,100.711152,0.229188,0.962477,0.490566,0.924528,3,3,1.0,1.0,116,23978,23978,0.228052,0.906289,0.998123
246000772,Communauté de communes des Deux Vallées,60,60 - Oise,16,16,22569,22569,8135,0.622573,58.536843,0.414152,0.871638,0.375,0.8125,1,1,1.0,1.0,26,3395,3395,0.148576,1.0,1.0
240200501,Communauté de communes du Val de l'Aisne,02,02 - Aisne,57,56,20284,20163,8135,0.633218,21.829787,0.610772,0.861578,0.357143,0.678571,0,0,0.0,0.0,21,2359,2359,0.143356,1.0,1.0
246200844,Communauté de communes de la Région d'Audruicq,62,62 - Pas-de-Calais,15,15,28187,28187,8135,0.643677,39.355448,0.401249,0.884344,0.333333,0.8,1,1,1.0,1.0,23,3666,3666,0.294767,0.948991,0.987179
245900758,Communauté de communes Flandre Lys,59,59 - Nord,8,8,40142,40142,8135,0.652134,60.713168,0.474939,0.836804,0.5,0.875,0,0,0.0,0.0,28,7261,7261,0.174676,1.0,1.0
200043404,Communauté de communes du Sud Avesnois,59,59 - Nord,12,12,24414,24414,8135,0.659784,57.852093,0.324363,0.891783,0.416667,0.916667,1,1,1.0,1.0,30,4481,4481,0.130314,1.0,1.0
246000566,Communauté de communes du Plateau Picard,60,60 - Oise,52,52,29684,29684,8135,0.663168,29.073811,0.492925,0.743431,0.461538,0.903846,0,0,0.0,0.0,39,3693,3693,0.153565,0.94449,1.0
246000921,Communauté de communes des Pays d'Oise et d'Halatte,60,60 - Oise,17,17,34438,34438,8135,0.665806,92.912161,0.282827,0.952233,0.411765,0.823529,1,1,1.0,1.0,34,5554,5554,0.21554,0.941844,0.961469
246200729,Communauté d'agglomération du Boulonnais,62,62 - Pas-de-Calais,22,22,112463,112463,8135,0.705099,63.331665,0.617963,0.799161,0.318182,0.590909,3,3,1.0,1.0,96,21036,21036,0.359899,0.80039,0.936157
246000749,Communauté de communes des Lisières de l'Oise,60,60 - Oise,20,20,15940,15940,8135,0.70532,48.530489,0.447051,0.731493,0.3,0.7,0,0,0.0,0.0,24,1893,1893,0.090011,1.0,1.0
246000913,Communauté de communes du Pays de Bray,60,60 - Oise,23,23,18144,18144,8135,0.716652,18.81724,0.318948,0.845789,0.347826,0.956522,0,0,0.0,0.0,21,2189,2189,0.087895,0.975331,1.0
246000764,Communauté de communes de l'Aire Cantilienne,60,60 - Oise,11,11,44820,44820,8135,0.72309,287.687684,0.589179,0.741053,0.454545,0.818182,1,1,1.0,1.0,38,9208,9208,0.129119,1.0,1.0
200071892,Communauté d'agglomération du Saint-Quentinois,02,02 - Aisne,39,39,79327,79327,8135,0.736648,84.68553,0.723751,0.775902,0.179487,0.307692,3,3,0.666667,0.666667,69,17083,17083,0.500495,0.761108,0.858924
200043396,Communauté d'agglomération Maubeuge Val de Sambre,59,59 - Nord,43,43,122909,122909,8135,0.737817,43.831038,0.505716,0.755112,0.255814,0.488372,5,5,0.6,1.0,133,23838,23838,0.476538,0.665618,0.911947
246200299,Communauté d'agglomération d'Hénin-Carvin,62,62 - Pas-de-Calais,14,14,126133,126133,8135,0.740675,60.501701,0.520459,0.805887,0.428571,0.785714,2,2,0.5,0.5,102,25335,25335,0.704679,0.556542,0.793527
240200469,Communauté de communes du Pays de la Serre,02,02 - Aisne,42,42,14372,14372,8135,0.750481,23.997843,0.418105,0.63415,0.214286,0.571429,0,0,0.0,0.0,17,1855,1855,0.239448,1.0,1.0
240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,27,27,52447,52447,8135,0.751466,113.95361,0.565962,0.669628,0.148148,0.296296,0,0,0.0,0.0,47,12415,12415,0.46748,0.692388,0.8588
